ticker,keyword,matches
AAPL,apple,2123
TSLA,tesla,1615
MSFT,microsoft,1402
NVDA,nvidia,2743
GOOGL,google,2235
AMZN,amazon,1481
META,meta,5940
META,facebook,3474
JPM,jpmorgan,1636
NFLX,netflix,495
