field,presence_ratio
ai_allow,1.0
author,1.0
categories,1.0
crawled,1.0
entities,1.0
external_links,1.0
highlightText,1.0
highlightThreadTitle,1.0
highlightTitle,1.0
language,1.0
ord_in_thread,1.0
published,1.0
rating,1.0
sentiment,1.0
syndication,1.0
text,1.0
thread,1.0
title,1.0
updated,1.0
url,1.0
uuid,1.0
webz_reporter,1.0
topics,0.881
has_canonical,0.8571
external_images,0.8452
breaking,0.7976
trust,0.7738
internal_images,0.5119
parent_url,0.3333
summary,0.2024
canonical,0.1429
