field,mean,p10,p25,p50,p75,p90,p95,p99
title_len,78.4,50.0,61.0,75.0,92.0,109.0,123.0,164.0
text_len,3371.1,352.0,1169.0,2572.0,4317.0,6617.1,8380.1,17786.0
