model,cv_folds,mean_accuracy,std_accuracy,mean_f1_weighted,std_f1_weighted,mean_roc_auc,std_roc_auc
tfidf_logreg_production_cv,5,0.8454,0.0031,0.8449,0.0031,0.92,0.0022
tfidf_logreg_balanced_cv,5,0.8282,0.005,0.8288,0.005,0.9073,0.0027
